Nederlands;Gronings
Enne was 12 jaar oud en ze had net achter haar ouderhand veel klappen.;Enne was 12 joar en haar net alderbenaauwst veul klappen had.
Hij stond nog net niet te huilen.;Hai stond nog net nait te janken.
Zijn hoofd deed pijn, er vloog bloed uit zijn neus en snot.;Zien kop dee zeer, der luip bloud oet zien neuze en snöt.
Zijn gezicht was ook nat van tranen en kwijl.;Zien bezoen was ook nat van troanen en kwiel.
Het was daar hij heen ging, niet te zuinig.;t Was der heer goan, nait te zuneg.
En waarom?;En woarom?
Ja waarom?;Joa woarom?
Hij zei dat de Kerstmis wel bestond.;Hai zee dat Sunterkloas wel bestond.
En Wanderer, Kloas en Pieter zaten van niet.;En Wander, Kloas en Pieter zeden van nait.
En dat was de reden dat er bakkerij was na school.;En dat was de reden, dat der beukerij was noa schoultied.
Achter bij het schutjepad waren er steeds meer grote woorden gekomen.;Achter bie t Schietpadje waren der aal meer grode woorden kommen.
het werd een geschreeuw en geroep.;t Wuir n geroup en geroas.
En toen haar Wandeling hem een drukker gaf.;En dou haar Wander hom n drukker geven.
Hij was bijna over de grond gegaan.;Enne was laankoet over grond goan.
Dou had e van Kloas een schop gekregen.;Dou haar e van Kloas n schop kregen.
En dat was mogelijk, als er een op de grond lag.;En dat was gemain, as aine op grond lag.
Hij was weer opgestaan en had;Hai was weer opstoan en haar
Peter verkocht een drijzel, omdat die er altijd bij stond om te lachen.;Pieter n driezel verkocht, omreden dat dij der aal bie te lachen stond.
Toen was het in een drije tegen een.;Dou was t in aine drij tegen ain.
En dat had hij verloren.;En dat haar e verloren.
Dik verloren.;Dik verloren.
Nu stond hij nog iets te poetsen.;Nou stond e nog wat noa te poesten.
Hij slikte met zijn tong over de lippen en proefde ijzer.;Hai slikte mit zien tong over lippen en pruifde iesder.
Dat was bloed.;Dat was bloud.
Dat was van ijzer gemaakt.;Dat was moakt van iesder.
Hij wist dat, omdat zijn moeder van die goud, van die pillen, in potje zat haar tegen bloedarmoede.;Hai wis dat, omreden dat zien moeke van dat goud, van dij pillen, in potje zitten haar tegen bloudarmoude.
En mama had gezegd dat een mens niet genoeg ijzer in het bloed had.;En moeke haar zegd dat n minsk den nait genoeg iesder in t bloud haar.
Hij proefde ook zout.;Hai pruifde ook zolt.
Dat zou dan wel van de tranen zijn.;Dat zol den wel van de troanen wezen.
Hij zou nog een poosje wachten en dan naar huis lopen.;Hai zol nog n zetje wachten en den noar hoes lopen.
Hij ging over Neighbours Loan.;Hai ging over Buurma’s Loan.
Daar zouden die slechte borstelvoorst niet zijn.;Doar zollen dij misselke kwasten veurvast nait wezen.
Een sterkteglas bestaat wel!;Sunterkloas beston wel!
Hij wist het veilig.;Hai wos t sekuur.
Vanzelfsprekend waren er ook hulpmiddelen.;Vanzulvens waren der ook hulp Sunterkloazen.
Dat kon je ook zien.;Dat kon je ook zain.
Die zagen er soms niet zo mooi uit als de enige echte.;Dij zagen der maistied nait zo schier oet as de ainege echte.
Het was begonnen met hoezel, maar dat was veranderd in sneeuw.;t Was begonnen mit hoagel, mor dij was overgoan in snij.
De wind had het sneeuw alle kanten opblazen.;Wind haar snij ale kaanten opbloazen.
Je kon er met goed verstand niet buiten zijn.;Je kon der mit goud fersoun nait boeten wezen.
Duizenden spitten steken je in het gezicht.;Doezenden naaldjes prikten joe in t gezicht.
Waar maar een beetje lij was, bleef het liggen.;Woar ook mor n beetje lij was bleef t liggen.
