Training Steps,train_bleu_nld_Latn_to_gos_Latn_src_to_tgt,train_bleu_gos_Latn_to_nld_Latn_tgt_to_src,train_chrf_nld_Latn_to_gos_Latn_src_to_tgt,train_chrf_gos_Latn_to_nld_Latn_tgt_to_src,validate_bleu_nld_Latn_to_gos_Latn_src_to_tgt,validate_bleu_gos_Latn_to_nld_Latn_tgt_to_src,validate_chrf_nld_Latn_to_gos_Latn_src_to_tgt,validate_chrf_gos_Latn_to_nld_Latn_tgt_to_src
350,40.71135558935765,32.98122218576931,68.42561853786854,54.44119202611019,41.6003127788105,34.09865528234212,65.63511868942376,56.04256734014156
400,47.179497807578166,35.040678900201655,71.44773769558176,55.78074543519869,42.52533219402791,38.17553138470423,66.48993422307758,58.772736705659625
450,49.49344090545512,37.03612885531409,72.38287461719169,57.13226802542831,43.940717413379794,37.50906456924885,67.46306725817726,58.19675681460191
500,46.58127014272707,41.26729383664517,70.37988972811875,60.64431141711345,43.50153744466546,40.331730066161825,66.3097571255411,60.50080586426786
550,53.880073995127546,36.294846751154665,75.66319236878547,56.17939208692222,48.01446115655411,36.808671067788794,69.84867530596802,58.123784795342495
600,53.790091633392436,42.158139192375785,75.27240150469646,61.3212806516663,48.30220024330427,40.77197262929635,69.48718054680141,60.85348394733313
650,55.22186238796504,39.01383710195367,76.85718188939627,59.38648844788192,50.396751646582224,37.958051474917156,71.18937984920079,59.71073311490235
700,57.58364967653241,41.619172186473236,77.5886319024368,60.374524386831965,50.26694284580864,42.16568016250268,71.57842907314925,61.62570378525787
750,56.915115256920565,43.3983213034059,78.02295540938694,61.34152725031308,52.69239960847162,42.06383453230898,72.66710366824903,61.89219863787956
800,59.21063951726283,42.90940695987134,77.38594860460577,61.67051769795025,51.701774310523604,41.33684791870136,73.2038609346039,61.420151480067595
850,59.18808050770767,42.57056216390563,78.57197803760694,61.58528714774359,52.65411633084797,42.10015330395316,72.0609954817927,62.512265279186785
900,62.664759451345425,42.63715138970384,80.7519340160286,61.80671510941902,54.98863554314844,41.538177541572345,73.64319627607652,62.019123733976414
950,60.560517473429464,41.25913084787237,80.83106933443622,60.82127231564029,53.432401786559566,41.11382387592597,74.01162513000783,61.133539577421644
1000,61.44019099232558,46.17049576848416,80.46933782187602,63.97174074187063,53.06186247629844,42.81585097945347,74.57032775369768,62.72829965870934
