,Training Steps,bleu_src_to_tgt,bleu_tgt_to_src,chrf_src_to_tgt,chrf_tgt_to_src
0,175,32.929201439089276,61.21949634775748,59.942866959010274,75.95577498785995
1,200,37.771121851946866,54.96004024066979,63.89289804378395,72.68947954842811
2,225,42.702996600884454,56.455782596821656,66.76865472843889,73.59438212003802
3,250,42.626159909553515,53.630829065407234,67.86181776860018,72.83675418330185
4,275,42.59596651804456,65.24620820170433,68.60669146002535,78.91415974118304
5,300,46.90518974377102,58.734441409312055,69.41944775128695,76.08787269444312
6,325,46.785415582398144,64.9570969702452,70.00249904777823,78.97755612589404
7,350,44.79326155925255,66.62513909664409,68.49184471858598,80.7115281052379
8,375,47.259587140652215,67.69317925861955,70.05694848404926,82.42455304398788
9,400,51.68110931696382,61.22668503292779,72.65151053992436,77.33525724737291
10,425,53.72970140968038,64.17903806615664,74.76210039868201,78.1141069881913
11,450,51.941267704794754,63.62896068698152,72.90562488960487,79.08420405342333
12,475,55.938493935233915,65.78349391878817,74.54181556955392,81.53916484449326
13,500,56.43185387280076,69.4605880717346,74.0096541373508,82.49643320906463
14,525,54.991447014965395,64.76200590983814,74.4711924779052,79.23130738304816
15,550,53.28427000926527,66.93192091556078,73.66339824679228,80.79353390268203
16,575,53.606541239666996,68.49437287615484,74.55059933108168,82.63065380115778
17,600,59.42577531140524,68.45568627292175,77.46768168112177,82.45943468356595
18,625,57.31934979506704,68.36145000437759,77.07482493184908,82.3184890746713
19,640,53.67893454577748,67.01907842316697,75.27392973519767,81.41501335786737
