woarzoo	waarzo
woar	waar
woarargens	waarergens
elk	elijk
elk	lijk
en	enen
en	ening
erg	erig
goa	ga
eg	ig
ei, ij	ij
je	je
ke	je
kske	kje
st	st
Woar, t - (op)	't Waar
Zaand, t - (op)	’t Zandt
oa, ai	a
àbà!, à	a bah
apperpo!	à propos
apperpo	à propos
oabébouk	a-b-boek
aaches le’aaches	aaches l’aaches
nijneers, Oagje -	Aagje, nieuwsgierig -, nieuwsgierig Aagje
ai	aai
ai, aien	aai
oai, oaie	aai
aai	aai
ei (Ww.)	aai
aien	aaien
aaien	aaien
aaien, fleren	aaien
oake of oak	aak
oake, oak	aak
oal	aal
albeer	aalbes
aalbeer	aalbes
aalbeerns	aalbes
albeernboom	aalbessenboom
albeernbos	aalbessenbos
albeernnat	aalbessennat
albeernwien	aalbessenwijn
oalfoek	aalfuik
oalkopoftrekkerei, oaltrekkerei	aalkopaftrekkerij
oalstiekel	aalstekel
oaltje	aaltje
oltje, Oaldien, oaltje	Aaltje
oaltoek, toeken	aaltok
oaltoeken, toeken	aaltokken
oaltrekkerei	aaltrekkerij
oaltrekkerei	aaltrekkerij
oaltoeke, oaltoek, toeke, toek	aalvork
toeke, toek	aalvork
oaltoek	aalvork
ambolt	aambeeld
ambolt	aambeeld
takken	aambeien
naauwborsteg	aamborstig
oam	aamt
oam	aamt
an	aan
an	aan
an	aan
an, angoan, bakkeran, en, om, op, tou, wezen, zitten	aan
aan hebben	aan hebben
aanhuiven	aan hoeven
aan kinnen	aan kunnen
aan kinnen op	aan kunnen op
aan loaten	aan laten
aan mouten mit	aan moeten met
antou, bieveuren	aan toe
an - tou	aan toe
an-tou, toavend	aan toe
aan, aal, aalaan, aaldeur, aalgedureg, aalvot, aalweg, aan ... tou, benoasten, benoasten bie, glad, hoast, host, kaar, kant, krap-aan, oast, schier, schroa aan, schroa bie, schroal, sikkom, sikkoms, tou	aan, bijna, tot, voortdurend
anarbaiden, anbraid	aanarbeiden
anbakken	aanbakken
anbakkern	aanbakkeren
anbegun	aanbegin
aanschellen, schellen	aanbellen
schellen, aanschellen	aanbellen
anbetoalen	aanbetalen
anbetern	aanbeteren
anbeteren	aanbeteren
aanrekomdaaiern	aanbevelen
aanrekomdaaiern, rekomdaaiern	aanbevelen
rekomdaaiern	aanbevelen
anboden	aanbieden
anbóden	aanbieden
aanbaiden	aanbieden
prezentoatsie	aanbieding, vertoning
anbirzen, birzen	aanbiezen
anbinden, anbinnen, anbienden, anbienen	aanbinden
aanbinnen	aanbinden
aanpoesten	aanblazen
anblieven	aanblijven
aanbod	aanbod
anboiën, anbuien	aanboeien
anbuiten, buiten	aanboeten
aanbuiten	aanboeten
aanbaauw	aanbouw
anbraiden	aanbreien
anbreken	aanbreken
aanbrengelavond, aanbrengeldag	aanbrengavond
aanbrengeldag, aanbrengelavond, drinkeldobbe	aanbrengdag
wrogen	aanbrengen
anbrengen	aanbrengen
anbrengen	aanbrengen
aanbrengen	aanbrengen, opleveren
andacht	aandacht
aanpart	aandeel
andeel	aandeel
anpart	aandeel
aandinken	aandenken
andijnen	aandienen
aandainen	aandienen
andei	aandij
aandikken	aandikken
andob, andobbe	aandobbe
andoeken, andouken	aandoeken
aandoeken	aandoeken
andoun	aandoen
andundern	aandonderen
andraid	aandraaien
aandroagen	aandragen
schroal, schrol	aandrift, bui (fig.)
schrol, schroal	aandrift, bui (fig.)
aandrieven	aandrijven
anstân	aandringen
andrinken, anëten	aandrinken
aandrokken	aandrukken
aanduden	aanduiden
andoeken, doeken	aanduiken
anduren, an, duren	aandurven
aanduren	aandurven
aanfaailen	aandweilen
achterrad	aaneen, snel -
drieven, plougen, pluigen	aaneensluiten, planken -, drijven, ploegen
anëten	aaneten
anfleeren, fleeren	aanfleren
aanfokken	aanfokken
angoan	aangaan
angoan, ankomen	aangaan
aangoan	aangaan
ingoan	aangaan (school)
aangoande	aangaande
angappen	aangapen
anböt, anbuiten	aangeboet
anbonnen	aangebonden
anbōnden, anbōnnen, verbōnden	aangebonden
anboud, an	aangebouwd
zangerg, broaderg	aangebrand
broaderg, hait, kwoad, maal, maalkopt, nieds, niedsk, obsternoat, obstinoat, roeg, verniend, zangerg	aangebrand, driftig
sangerg, sengerg	aangebrand, sterk -
sengerg, sangerg	aangebrand, sterk -
anbraid	aangebreid
anbroken, anbreken	aangebroken
andobd, andob	aangedobd
anhoald, biekomen	aangehaald
ankeurd	aangekeurd
