eerdappeldoggen	Aardappeldoggen
Oabel	Abel
Oabeltje	Abeltje
Oabram	Abraham
hakzeen	Achillespees
Auwerd	Aduard
Aalbert	Albert
Aldriln	Allerheiligen
Amolek	Amalek
Amerikoan	Amerikaan
ammie	Ami
Tönnies	Antonius
Asser	Aser
Azzen	Assen
aaskepoester	Assepoester
Nachtmoal	Avondmaal
Batjebörg	Baatjeborg
Bavveld	Baflo
Baffelt	Bafloo
Baarberoa	Barbara
Barnigoaten	Barnegaten
Barnvlair	Barnflair
Boroech	Baroech
Baddelt	Barteld
Batjeverloat	Batjeverlaat
Bemer	Bedumer
Baaiem	Beijum
Benjemin	Benjamin
Benaars	Bernardus
Bertoa	Berta
Bairem	Bierum
Biebel	Bijbel
bloklichters	Bloklichters
Börkomnei	Borgercompagnie
Brandje	Brand
brunswieker	Brunswijker
Bonde	Bunde
Boerem	Burum
Kato	Cato
sesielieoa	Cecilia
sili	Chili-salpeter
Sinoa	China
Sinees	Chinees
kris	Christiaan
Koksioanen	Cocksiaan
koksioanen	Cocksianen
Kooien	Cohen
kompas	Compascuum
Knelske	Cornelia
Kezoan	Corzaan
doavied	David
Det	Dettje
Dijterd	Dieder
Derk	Diederik
dina	Dina
Doezem	Doezum
Dollerd	Dollard
doofpotten	Doofpotten
Dörkerd	Dorkwerd
Drint	Drent
Drìnt	Drente
Drent	Drenthe
Duusterwinkel	Duisterwinkel
Duuts	Duits
duukjes-van-tol	Duukje-van-Tol
Aikwerd	Eekwerd
Aims	Eems
n	Een
Egipte	Egypte
egiptenoaren	Egyptenaren
Eekamp	Ekamp
Aikenstain	Ekenstein
elske	Elsje
Emmoa	Emma
Emmoapolder	Emmapolder
Eembert	Engbert
Ìngels	Engels
Ìngelsman	Engelsman
Aimentil	Enumatil
Uropoa	Europa
Evoa	Eva
Evert	Everhard
Fenerwolle	Finsterwolde
Fivelgoo	Fivelgo
Folkernstroate	Folkingestraat
Frankriek	Frankrijk
Franzen	Fransen
Rieks	Frederik
Fritser	Fridser
Vrais	Fries
Vrijsland	Friesland
Garmwol	Garmerwolde
Gareweer	Garrelsweer
geet	Geertje
Gelkenstroade	Gelkingestraat
Geuchien	George
Gras	Gerard
Grades	Gerardus
Gaarmt	Gerbrand
Gerriet	Gerrit
Geuchien	Geu
Gaiten	Gieten
gladhakken	Gladhakken
Glens	Godlinze
geutslikkers	Gootslikkers
Gories	Gregorius
Grait	Griet
Grietsloot	Grijssloot
Gruinlaand	Groenland
Gröngerlander	Groninglander
Halveamt	Halfambt
Hoaman	Haman
hansmienknecht	Hans-mijn-knecht
Haarm	Harm
Harsens	Harssens
Hasjem	Hasjeem
haidenbounder	Heiboenders
Haaidelbaarg	Heidelberg
Haailand	Heiland
Haaiman	Heiman
Hillegeland	Helgoland
Helpen	Helpman
Rieks	Henderikus
Hinderk	Hendrik
