Infinitief,1sg,2sg,3sg,Pl,Past-1sg,Past-2sg,Past-3sg,Past-Pl,Part,Vertaling,Transitief
bieten,biet,bitst,bit,bieten (bit ⊲ biet),beet,beetst,beet,beten,beten,bijten,ja
blieken,bliek,bliekst,bliekt,blieken,bleek,bleekst,bleek,bleken,bleken,blijken,ja
blieven,blief,blifst,blift,blieven (blift ⊲ blieft),bleef,bleefst,bleef,bleven,bleven,blijven/believen,ja
blinken,blink,blinkst,blinkt,blinken,blònk,blònkst,blònk,blònken,blònken,blinken,nee
bloazen,bloas,blast,blast,bloazen (blast ⊲ bloast),blous,bloust,blous,blouzen (blous ⊲ bloasde),bloazen,blazen/pochen,nee
blouden,blou,bludst,bludt,blouden (bludt ⊲ bloudt),bludte,bludtest,bludte,bludten (bludte ⊲ bloudde),blud (⊲ bloud),bloeden,nee
boegen,boeg,bógst,bógt,boegen,boog,boogst,boog,bogen,bogen,buigen,ja
braaien,braai,braaist,braait,braaien,braaide,braaidest,braaide,braaiden,braaid,breien,ja
braauwen,braauw,braauwst,braauwt,braauwen,braauwde,braauwdest,braauwde,braauwden,braauwd,brouwen,ja
breken,breek,brekst,brekt,breken (brekt ⊲ breekt),brak,brakst,brak,brak(k)en (brak ⊳ brook),broken,breken,ja
brengen,breng,brengst,brengt,brengen,bròcht,bròchst,bròcht,bròchten (bròcht ⊳ bròchde),bròcht,brengen,ja
broaden,broa,bradst,bradt,broaden (bradt ⊲ broadt),broadde,broaddest,broadde,broadden,broaden,braden,ja
brouden,brou,brudst,brudt,brouden (brudt ⊲ broudt),brudde,bruddest,brudde,brudden (brudde ⊲ broudde),brud (⊲ broud),broeden,nee
buten,buut,butst,but,buten (but ⊲ buut),buutte,buuttest,buutte,buutten,buut,ruilen,ja
delven,delf,delfst,delft,delven,dólf,dólfst,dólf,dólven,dólven,delven,ja
denken,denk,denkst,denkt,denken,dòcht,dòchst,dòcht,dòchten (dòcht ⊳ dòchde),dòcht,denken,ja
dingen,ding,dingst,dingt,dingen,dòng,dòngst,dòng,dòngen,dòngen,dingen,nee
doeken,doek,dókst,dókt,doeken (dókt ⊲ doekt),dook,dookst,dook,doken,doken,duiken,nee
dörsen,dörs,dörst,dörst,dörsen,dörste,dörstest,dörste,dörsten (dörste ⊳ durs),dörst (⊳ dursen),dorsen,ja
doun,dou,dust,dut,doun,dee,deest,dee,deden,doan,doen,ja
drieven,drief,drifst,drift,drieven (drift ⊲ drieft),dreef,dreefst,dreef,dreven,dreven,drijven,ja
aandoeken,doek aan,doeks aant,doekt aan,doeken aan,doekte aan,doektes aant,doekte aan,doekten aan,aandoekt,knuffelen,ja
aarven,aarf,aarfst,aarft,aarven,aarfde,aarfdest,aarfde,aarfden,aarfd,erven,ja
baargen,baarg,baargst,baargt,baargen,burg,burgst,burg,burgen,burgen,bergen,ja
baiden,bai,budst,budt,baiden (budt ⊲ baidt),bo,boodst,bo,boden (bo ⊲ bood),boden,bieden,ja
bakken,bak,bakst,bakt,bakken,bakte,baktest,bakte,bakten,bakt (⊲ bakken),bakken/kleven,ja
barsten,barst,barstst,barst,barsten,bórst,bórstst,bórst,bórsten,bórsten,barsten,nee
bedaarven,bedaarf,bedaarfst,bedaarft,bedaarven,bedurf,bedurfst,bedurf,bedurven,bedurven,bederven,ja
bedraaigen,bedraaig,bedraaigst,bedraaigt,bedraaigen,bedraaigde,bedraaigdest,bedraaigde,bedraaigden,bedraaigd,bedreigen,ja
bedraigen,bedraig,bedrugst,bedrugt,bedraigen (bedrugt ⊲ bedraigt),bedroog,bedroogst,bedroog,bedrogen,bedrogen,bedriegen,ja
beduden,bedu,bedudst,bedudt,beduden (bedudt ⊲ beduudt),bedudde,beduddest,bedudde,bedudden (bedudde ⊲ beduudde),bedud (⊲ beduud),betekenen,ja
begriepen,begriep,begripst,begript,begriepen (begript ⊲ begriept),begreep,begreepst,begreep,begrepen,begrepen,begrijpen,ja
begunnen,begun,begunst,begunt,begunnen,begón,begónst,begón,begónnen (begón ⊳ begunde),begónnen (⊳ begund),beginnen,ja
benieden,benie,benidst,benidt,benieden (benidt ⊲ beniedt),benee,beneest,benee,beneden,beneden,benijden,ja
betoalen,betoal,betoalst,betoalt,betoalen,betoul,betoulst,betoul,betoulen (betoul ⊲ betoalde),betoald,betalen,ja
bevelen,beveel,beveelst,beveelt,bevelen,bevool,bevoolst,bevool,bevolen,bevolen,bevelen,ja
bewegen,beweeg,beweegst,beweegt,bewegen,bewoog,bewoogst,bewoog,bewogen,bewogen,bewegen,ja
bezwieken,bezwiek,bezwikst,bezwikt,bezwieken (bezwikt ⊲ bezwiekt),bezweek,bezweekst,bezweek,bezweken,bezweken,bezwijken,nee
bidden,bid,bidst,bidt,bidden,bee,beest,bee,beden,beden,bidden,nee
bienden,bien,bienst,biendt,bienden,bón,bónst,bón,bónden,bónden,binden,ja
haaisen,haais,haaist,haaist,haaisen,hees,heest,hees,hesen,hesen,hijsen,ja
haauwen,haauw,haauwst,haauwt,haauwen,haauwde,haauwdest,haauwde,haauwden,haauwen,slaan,ja
haiten,hait,haitst,hait,haiten,haitte,haittest,haitte,haitten,haiten,heten,ja
hangen,hang,hangst,hangt,hangen,hòng,hòngst,hòng,hòngen (hòng ⊲ hing),hòngen (⊲ hangen),hangen,ja
hebben,heb,hest,het,hebben,haar,haarst,haar,haren,had,hebben,ja
helpen,help,helpst,helpt,helpen,hulp,hulpst,hulp,hulpen (hulp ⊲ hielp/hólp),hulpen (⊲ hólpen),helpen,ja
hevven,hef,hefst,heft,hevven,hefde,hefdest,hefde,hefden,heven,heffen,ja
